name,articul,price,gb,screen
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 32GB DDR4-3200Mhz, 512GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291075,85282,32GB,"14.0"""
"Ультрабук Lenovo IdeaPad Slim 5 16IRH10 i5-13420H (up 4.6Ghz) 16GB DDR5, 1TB SSD m2 NVMe, 16"" 2.8K (2880x1800) OLED 120Hz, Integrated Intel® UHD Graphics, Type-C, HDMI, WF, BT, DOS, ENG-RUS, корпус металл., серый [83HS002RRK]",287040,85451,16GB,"16"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I716512B7D Intel Core 7-150U (10 ядер/12 потоков, up to 5.4Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 16GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291089,85787,16GB,"14.0"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 16GB DDR5, 1TB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER",292654,85787,16GB,"16"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 24GB DDR5, 256GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER",292643,85787,24GB,"16"""
"Lenovo Yoga Slim 6 14IRH8 Storm Grey Intel Core i5-13500H (12ядер/16потоков, up to 4.7Ghz), 16GB DDR5, 1TB M.2 NVMe™ PCIe® 4.0 SSD, Intel® Iris® Xe Graphics, 14"" WUXGA (1920x1200) OLED 400nits Glossy, WiFi 6, BT 5.3, 2x USB-C, HDMI, HD WebCam, Win11, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой",272687,86027,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I716512B7D Intel Core 7-150U (10 ядер/12 потоков, up to 5.4Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 16GB DDR4-3200Mhz, 512GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keybo",291092,87301,16GB,"14.0"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 24GB DDR5, 512GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER + Windows 11 Home",292649,87301,24GB,"16"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 1TB SSD PCIe NVMe M.2 + 512GB SSD PCIe️ NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster,",291085,87806,8GB,"14.0"""
"HP OmniBook 5 AI 16-AF1017WM Intel Core Ultra 7 255U (up to 5.2Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 16GB LPDDR5X-7467Mhz, 1TB SSD PCIe NVMe, Intel Graphics, 2xUSB-C, RUS\ENG",290635,88969,16GB,"16"""
"Ультрабук Acer Aspire Vero 16 AV16-51P-7063, Ultra 7 155U(up to 4.80GHz), 16GB DDR5, 1TB, 16"" WQXGA IPS, Intel Graphics, WIN11H, чехол скан. отп. пальцев клав. с подсв EN-RU, Cobblestone Gray",290332,89680,16GB,"16"""
